

       HeapSort;Tempo
             10;0.000
            100;0.000
            250;0.000
            500;0.000
            750;0.000
           1000;0.000
           2500;0.001
           5000;0.002
           7500;0.003
          10000;0.004
          12500;0.005
          15000;0.006
          17500;0.007
          20000;0.008
          22500;0.010
          25000;0.010
          50000;0.021
          75000;0.037
         100000;0.053
         250000;0.135
         500000;0.301
         750000;0.456
        1000000;0.625


      QuickSort;Tempo
             10;0.000
            100;0.000
            250;0.000
            500;0.000
            750;0.000
           1000;0.000
           2500;0.000
           5000;0.002
           7500;0.002
          10000;0.003
          12500;0.003
          15000;0.005
          17500;0.005
          20000;0.007
          22500;0.007
          25000;0.009


      RadixSort;Tempo
             10;0.000
            100;0.000
            250;0.000
            500;0.000
            750;0.000
           1000;0.000
           2500;0.001
           5000;0.000
           7500;0.001
          10000;0.002
          12500;0.002
          15000;0.002
          17500;0.002
          20000;0.003
          22500;0.003
          25000;0.003
          50000;0.007
          75000;0.010
         100000;0.018
         250000;0.044
         500000;0.083
         750000;0.124
        1000000;0.191


      ShellSort;Tempo
             10;0.000
            100;0.000
            250;0.000
            500;0.000
            750;0.000
           1000;0.001
           2500;0.001
           5000;0.003
           7500;0.004
          10000;0.006
          12500;0.007
          15000;0.008
          17500;0.010
          20000;0.012
          22500;0.014
          25000;0.016
          50000;0.036
          75000;0.053
         100000;0.086
         250000;0.222
         500000;0.495
         750000;0.782
        1000000;1.146
