

       HeapSort;Tempo
             10;0.000
            100;0.000
            250;0.000
            500;0.001
            750;0.000
           1000;0.000
           2500;0.001
           5000;0.001
           7500;0.002
          10000;0.002
          12500;0.002
          15000;0.003
          17500;0.004
          20000;0.005
          22500;0.006
          25000;0.006
          50000;0.013
          75000;0.019
         100000;0.026
         250000;0.072
         500000;0.161
         750000;0.231
        1000000;0.324


      QuickSort;Tempo
             10;0.000
            100;0.000
            250;0.000
            500;0.001
            750;0.002
           1000;0.005
           2500;0.027
           5000;0.114
           7500;0.260
          10000;0.438
          12500;0.687
          15000;0.974
          17500;1.330
          20000;1.745
          22500;2.231
          25000;2.949


      RadixSort;Tempo
             10;0.000
            100;0.000
            250;0.000
            500;0.000
            750;0.000
           1000;0.000
           2500;0.000
           5000;0.000
           7500;0.001
          10000;0.001
          12500;0.001
          15000;0.002
          17500;0.002
          20000;0.002
          22500;0.002
          25000;0.003
          50000;0.007
          75000;0.011
         100000;0.014
         250000;0.035
         500000;0.060
         750000;0.105
        1000000;0.132


      ShellSort;Tempo
             10;0.000
            100;0.000
            250;0.000
            500;0.000
            750;0.000
           1000;0.000
           2500;0.001
           5000;0.001
           7500;0.001
          10000;0.002
          12500;0.001
          15000;0.002
          17500;0.003
          20000;0.003
          22500;0.003
          25000;0.004
          50000;0.009
          75000;0.014
         100000;0.021
         250000;0.053
         500000;0.112
         750000;0.180
        1000000;0.279
